title（注意，所有单元格都不要包含换行符）,variant,price,imgUrl,link,l2,l3,inviteId,modelId,final_1688_link,price judge,上传日期,itemid,最大价格,价格档位,空置，该列请勿删除，否则会导致数据错乱,l4
6支装口腔喷雾套装，包含六种口味：桃子、葡萄、荔枝、薄荷、西瓜和橙子。持久留香，清新口气。男女通用。便携装。母亲节礼物。节日礼物,,￥9-￥99,https://img.kwcdn.com/product/fancy/881b7af2-10ba-435f-b947-0822b4f15445.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
14片装牙齿9D/条，日常使用，深度清洁牙贴,,￥9-￥99,https://img.kwcdn.com/product/fancy/0ccc458b-3f48-41aa-a679-c0da68a7e8b8.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
5种口味清新喷雾 - 0.68盎司便携式口腔清新剂，持久果香，随时随地清新薄荷香气，约会和接吻必备，圣诞礼物,,￥9-￥99,https://img.kwcdn.com/product/fancy/fccd130f-567a-4648-bc4a-fcdaa45d6e0c.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
Miswak 羟基磷灰石牙膏，富含草本精华，深层清洁，亮白笑容，欧洲配方，清新薄荷口气，温和呵护牙龈，旅行装 100 克/3.52 盎司，男女皆宜的理想口腔护理礼品，适合日常使用,,￥9-￥99,https://img.kwcdn.com/product/fancy/b8abf8b8-2981-4349-a84d-7bf7577c5212.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
智能电动冲牙器，精准压力控制，360°旋转喷嘴，深度清洁牙齿和牙龈，可更换喷嘴，USB充电，家用旅行两相宜。,,￥9-￥99,https://img.kwcdn.com/product/fancy/69b18df1-8db9-46a3-8114-7195b8fe0ed5.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
1个装便携式电动牙刷旅行收纳盒，兼容EBUs - EVA防震防水PU涂层保护收纳盒，大容量，可收纳牙刷、刷头、充电器及配件 - 卫生非食品容器,,￥9-￥99,https://img.kwcdn.com/product/open/2024-07-18/1721293515099-94d6f69f9fe247059dfb87e10bc9c073-goods.jpeg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
9D 紫色牙膏，100克/3.52盎司 - 深层清洁，清新口气，蕴含天然珍珠精华，呵护牙齿，清新口气，便携旅行配方，男女皆宜，适合日常使用和旅行,,￥9-￥99,https://img.kwcdn.com/product/fancy/6adaf3fc-0656-4243-afcc-2f54e9559e92.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
1瓶，桃子、葡萄、荔枝、橙子和西瓜口味口腔喷雾，口气清新剂，便携式清新剂，清新口气，清洁口腔护理！,,￥9-￥99,https://img.kwcdn.com/product/fancy/526ac4af-9df5-4255-ab42-7c435fd5dbdc.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
20片/10对全新配方紫色牙贴，第二代紫色牙贴配方，快速不伤牙龈，不敏感，不刺激，温和呵护牙齿，适合约会和聚会前快速清洁牙齿，展现迷人笑容,,￥9-￥99,https://img.kwcdn.com/product/fancy/ddf5032c-071d-46f3-93e2-19a6107f2936.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
7D牙贴 日常深度清洁牙贴 含8%植酸钠 7对/14片,,￥9-￥99,https://img.kwcdn.com/product/fancy/361a0653-3bfa-4e7e-b748-f3810dc8c989.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
保湿漱口喷雾——滋润并缓解口腔不适症状——带有淡淡薄荷清香——保持口气清新，口感极佳——适用于口腔及口臭,,￥9-￥99,https://img.kwcdn.com/product/fancy/15bdad10-b02c-430e-a4c5-c0bf786bc6c0.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
三件套口气清新喷雾套装，包含薄荷/西瓜/桃子三种口味，便携式口腔喷雾，持久清新口气。,,￥9-￥99,https://img.kwcdn.com/product/fancy/1516ce14-f57b-47f8-8c36-e4d6b78b6c2f.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
9D 亮白紫色牙膏，薄荷味，深层清洁，清新口气，告别牙齿泛黄，紫色旅行装家用清洁牙膏，口腔护理紫色牙膏，男女皆宜的口腔健康卫生礼品,,￥9-￥99,https://img.kwcdn.com/product/fancy/324835b0-04c8-4ed6-a490-ceeb56a776ee.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
21对/42片 9D牙贴 日常深度清洁牙贴 含8%植酸钠,,￥9-￥99,https://img.kwcdn.com/product/fancy/b5f54b8a-74df-4089-9ab7-645131504ce9.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
Lecareph 7天活性炭泵装牙膏，天然薄荷味，深层清洁，通过刷牙去除牙垢，安全护牙釉质，清新口气，温和不刺激，适合日常使用，尤其适合牙齿泛黄，90克/3.17盎司,,￥9-￥99,https://img.kwcdn.com/product/fancy/eca57c85-f69f-48bc-a783-6fed71e98aee.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
1个通用旅行牙刷盒 - 牙刷旅行收纳盒 - 耐用保护布袋，带收纳功能，便携小巧设计，方便携带，适合旅行和居家使用,,￥9-￥99,https://img.kwcdn.com/product/open/2024-10-08/1728376132427-5e0d02bb38b244688dcc1fc14efdac4f-goods.jpeg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
50支薄荷味牙刷清洁棉签，指套式设计，方便使用和携带，适合外出就餐后使用，避免食物残渣沾牙的尴尬。,,￥9-￥99,https://img.kwcdn.com/product/fancy/dd4390d4-daef-46f4-baa7-96c981df9045.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
3支装薄荷/西瓜/桃子味口气清新喷雾套装，对抗口臭，便携式口腔喷雾，持久清新口气，节日礼物，男女通用，派对聚会必备,,￥9-￥99,https://img.kwcdn.com/product/fancy/ec482f58-fb72-4a69-9ba9-aaebf0a6fb71.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
薄荷味速效牙齿精华，通过刷牙预防牙菌斑，深层清洁配方牙膏，自信展现洁白牙齿，男女适用，0.34盎司,,￥9-￥99,https://img.kwcdn.com/product/fancy/e01ce8c7-d123-4666-bf03-95e28c675cb1.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
EELHOE 双支装口香糖凝胶笔 / 深层清洁口腔污渍，清新口气 - 易于使用的口腔清洁笔 - 居家旅行皆宜，清洁牙渍，呵护牙龈，美白牙齿，口腔护理 - 适用于各种用途 - 0.07盎司 + 0.07盎司,,￥9-￥99,https://img.kwcdn.com/product/fancy/33cbb9e4-faf7-4a45-8c65-028671464755.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
自然丁香薄荷草本牙膏，0%添加剂，蕴含天然植物成分，深层清洁亮白牙齿，薄荷提取物清新口气，持久清新，自然滋养，打造健康笑容，适合所有人使用。,,￥9-￥99,https://img.kwcdn.com/product/fancy/d7afa2d3-feed-43f7-9d21-6f996774d2ec.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
自然丁香薄荷草本牙膏，0%添加剂，蕴含天然植物成分，深层清洁亮白牙齿，薄荷提取物清新口气，持久清新，自然滋养，打造健康笑容，适合所有人使用。,,￥9-￥99,https://img.kwcdn.com/product/fancy/d7afa2d3-feed-43f7-9d21-6f996774d2ec.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
9D牙贴套装，3对/6片，蓝色牙贴，适用于日常清洁牙齿及旅行途中佩戴,,￥9-￥99,https://img.kwcdn.com/product/fancy/2e15954f-2f7e-4157-b877-aa295ed7e1e3.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
电动牙刷头保护套：声波牙刷盖旅行保护套，塑料刷头保护夹，牙刷保护套，刷头盒，家用旅行浴室保护塑料夹，2个装,,￥9-￥99,https://img.kwcdn.com/product/fancy/681b961f-51a5-4df9-9e34-65c044c89c96.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
20%羟基磷灰石再矿化牙膏，清新口气，呵护牙龈健康，深层清洁，令牙齿更亮白，基础口腔护理，舒缓牙龈不适，去除牙菌斑，天然成分，男女皆宜，馈赠佳品。,,￥9-￥99,https://img.kwcdn.com/product/fancy/e3bf76c3-f7d5-4ea4-85a0-2a410183c562.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
薄荷/西瓜/桃子口味清新口气喷雾，便携式口腔喷雾，持久清新，是完美的节日礼物，也是派对和聚会的必备品。,,￥9-￥99,https://img.kwcdn.com/product/fancy/6da584df-d0a2-43c5-b028-3aca4bb48ec9.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
2瓶/5瓶装，3秒清新口气，薄荷清新喷雾，不含酒精，温和清爽，0.61盎司×2瓶，0.61盎司×5瓶，方便携带，适合旅行和聚会，时刻保持口气清新,,￥9-￥99,https://img.kwcdn.com/product/fancy/59844f7f-e89b-4cb3-99e1-ec86da5ab7d6.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
20%羟基磷灰石再矿化牙膏，清新口气，呵护牙龈健康，深层清洁，令牙齿更亮白，基础口腔护理，天然成分，旅行装100克/3.52盎司，男女皆宜的礼品之选,,￥9-￥99,https://img.kwcdn.com/product/fancy/2972096d-e34a-4bf6-8d4b-ea4ff8139122.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
2支装10%羟基磷灰石牙膏，深层清洁，亮白笑容。这款羟基磷灰石牙膏采用欧洲配方，清新薄荷口气，温和呵护牙龈，是男女皆宜的理想口腔护理礼品，适合日常使用，呵护牙齿，清新口气。,,￥9-￥99,https://img.kwcdn.com/product/fancy/f10ab037-555d-4275-9e46-e93b1452d594.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
牙齿美白精华液，深层清洁牙齿，美白凝胶，牙齿美容笔 2.5克 x 7支/盒 - 1盒,,￥9-￥99,https://img.kwcdn.com/product/fancy/26669714-c0ac-486d-9fbe-27626c241fd0.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
XPENGKILL 1支装 9D 牙膏，美白，旅行装,,￥9-￥99,https://img.kwcdn.com/product/fancy/c3617824-797b-46c2-a45d-0079fe46adf6.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
9D 紫色羟基磷灰石牙膏，深层清洁，亮白笑容，欧洲配方，薄荷清新口气，温和呵护牙龈，旅行装 100 克/3.52 盎司，深层清洁牙齿，是男女皆宜的理想口腔护理礼品，适合日常使用。薄荷味,,￥9-￥99,https://img.kwcdn.com/product/fancy/d3fa1882-2c3a-4fa2-839f-bfe14acdb61d.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
30毫升/1盎司舌苔护理喷雾 - 即刻清新口气，快速去除舌苔，成分：薄荷、绿茶、蓖麻油 - 口腔卫生漱口水，改善口臭、缓解舌苔敏感、控制牙菌斑，便携式日常口腔喷雾,,￥9-￥99,https://img.kwcdn.com/product/fancy/2bacfefc-3ce6-4477-9c34-f9b3cc78f976.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
1个紫色花朵字母A-Z便携式牙刷盒，旅行牙刷收纳盒，适合旅行、露营、商务旅行和上学，可作漱口杯、口腔护理配件、旅行洗漱杯、牙刷盒，旅行必备大容量,,￥9-￥99,https://img.kwcdn.com/product/fancy/03499db9-1212-4db3-bdd2-e2e688fb6a6b.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
防水防潮可上锁 - 推荐正畸收纳盒，适用于牙套、隐形矫正器（如Invisalign）、假牙收纳 - 可上锁牙科整理盒,,￥9-￥99,https://img.kwcdn.com/product/fancy/924f69c6-83df-4a22-ae34-2fbc430360b6.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
300克大容量家用牙膏，按压式包装，含益生菌和小苏打，深层清洁、基础清洁、亮白牙齿，清新口气，感恩节馈赠亲友佳品,,￥9-￥99,https://img.kwcdn.com/product/fancy/234b638d-cd79-4908-b1a6-5b25552661fc.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
2支装丁香薄荷草本牙膏，0%添加氟化物，深层清洁亮白配方，薄荷口味，天然清新口气，温和呵护敏感牙龈，草本萃取物有益牙龈健康，日常及旅行口腔护理，适合所有人使用,,￥9-￥99,https://img.kwcdn.com/product/fancy/506f2f9e-597d-4e10-b9b3-63d3b7cbc7dc.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
卡通动物字母系列牙刷盒套装，户外牙刷牙膏收纳盒，字母图案，便携式牙刷盒支架带盖，防尘整理盒旅行必备，肥皂盒，日常使用，节日礼物,,￥9-￥99,https://img.kwcdn.com/product/fancy/8116ca7e-5008-4dca-966e-cfb6c4ee6fcd.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
2支装口腔喷雾，6种口味可选：桃子、葡萄、荔枝、薄荷、西瓜、橙子，清新口气，便携装，餐后及约会后使用，口腔护理，节日礼物,,￥9-￥99,https://img.kwcdn.com/product/fancy/5f7c2a26-2652-4ff0-9b9f-fcf6e99e147f.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
荔枝味口腔喷雾，清新口气，持久留香,,￥9-￥99,https://img.kwcdn.com/product/fancy/89854efe-1dd6-4bee-b962-bd5d5ce4e727.jpg?imageView2/2/w/150/q/50/format/avif,,个人护理,口腔护理,IVCN202510271176,,,,2026/6/25,,￥9-￥99,热销品,,
